Question Number,Category,Question Summary,Question Details
1,Strategy & Vision,Our Vision / 3-year picture / 1-year plan explicitly considers an AGI future.,"A forward-looking vision isn’t just a slogan—it sets the mental horizon that informs every budget, hire, and product decision. Explicitly acknowledging the possibility of Artificial General Intelligence forces a small business to think beyond today’s tools and imagine scenarios where creative reasoning, not just task automation, is widely available. This mindset helps leadership spot long-tail risks (e.g., entire offerings becoming commodities overnight) and opportunity gaps (bundling human service with AGI speed). By discussing AGI in the same breath as revenue targets and market share, you teach the team to “build for antifragility,” selecting vendors, data models, and processes that can evolve quickly as capabilities compound. It also signals to staff and investors that the firm is intentional, not reactive, about technological upheaval."
2,Strategy & Vision,"The company sets at least one corporate AI Rock each quarter, with a measurable outcome.","Rocks (in EOS parlance) create focus and accountability. A single, high-impact AI Rock every quarter—e.g., “Automate invoice coding to recover 15 hours/month”—prevents the common pitfall of spreading effort across too many pilots. The measurable outcome forces clarity on scope, owner, timeline, and success metric, turning AI from “initiative” to concrete business improvement. Over successive quarters these Rocks compound, building muscle memory around scoping, resourcing, and de-risking AI work. The cadence also surfaces blockers early (budget, data access, training) so leadership can unblock quickly rather than letting enthusiasm fizzle. In short, one Rock per quarter keeps AI strategic but bite-sized—perfect for smaller teams that can’t absorb multiple concurrent moonshots."
3,Strategy & Vision,"Every team member sets one personal AI Rock each quarter, tailored to role and proficiency.","Individual Rocks democratise innovation. A bookkeeper might adopt AI reconciliations, while a marketer experiments with image-generation for ad variants. Tailoring to proficiency levels (beginner, intermediate, advanced) ensures stretch without overwhelm, and distributed ownership prevents the “AI is someone else’s job” mindset. Progress is reviewed in weekly Level-10 meetings, embedding continuous learning into the culture. Over time, this produces a grassroots library of playbooks—what worked, what flopped—and surfaces hidden champions who can mentor peers. For a 10–50-person firm where headcount is finite, making every seat an incremental AI R&D node accelerates discovery and mitigates the risk of a single-point AI guru leaving."
4,Strategy & Vision,Our Ideal Customer Profile (ICP) is reviewed annually for AI alignment.,"Markets move when technology does. Reviewing the ICP with an AI lens asks questions like: “Will our customers’ pain points stay the same once they adopt automation?” or “Could AI unlock a new sub-segment we’re ignoring?” For example, a bookkeeping service might pivot from micro-enterprises to larger firms needing human-in-the-loop assurance as AI commoditises basic ledger entries. Annual cadence strikes a balance—often enough to catch shifts, light enough for busy owners. Documenting the review also provides evidence to investors or lenders that the company isn’t blindsided by technological substitution risk."
5,Strategy & Vision,We benchmark our AI ambitions against competitors at least once a year and are progressing toward real-time insights.,"Benchmarking transforms gut feel into data: Are we ahead or behind in chatbots, workflow automation, or AI-driven upsell? Annual formal checks (industry reports, customer win/loss analysis) give a snapshot, while building toward real-time signals (news scraping, social listening, analyst feeds) creates an “early-warning radar.” For small businesses, this guards against spending months perfecting a feature the market already considers table-stakes, or conversely under-investing in a differentiator the competition hasn’t noticed. It also supplies talking points for sales and marketing: “We’re one of the first in our niche to use generative AI for proposal turnaround.”"
6,Strategy & Vision,Specific AI Key Performance Indicators (KPIs) appear on the company Scorecard.,"If it’s not on the Scorecard, it rarely gets managed. AI KPIs could include hours saved, percentage of support tickets handled by bots, or revenue from AI-enhanced upsells. Placing them alongside financial and operational metrics keeps AI accountable to real business value, preventing “vanity AI” projects. For leadership, it creates a single pane of glass—trends immediately signal whether the quarterly AI Rock is moving the needle. For teams, visibility fosters healthy competition and curiosity (“How did Operations hit 80 % AI-assisted quoting?”). This discipline is especially important for small firms where resources are tight and every initiative must defend its ROI."
7,Culture & Change-Readiness,Staff feel safe proposing automation ideas.,"Psychological safety determines whether innovation surfaces or stays hidden. In smaller firms every employee is a sensor in the business, spotting repetitive pain points that could be automated—but only if they trust leadership won’t equate “my job can be automated” with redundancy. Establishing safety can be as simple as explicit policy (“AI augments, not replaces”) and consistent behavior—recognizing suggestions rather than punishing them. By normalizing ideation, you multiply R&D capacity without new head-count: the shipping clerk flags barcode OCR, the scheduler suggests AI appointment-routing, the bookkeeper notes invoice coding. This bottom-up funnel feeds the quarterly AI Rock pipeline and ensures automation targets day-to-day realities, not executive guesswork. Safety is therefore the ignition point for a continuous improvement flywheel."
8,Culture & Change-Readiness,"AI-related wins are celebrated publicly (Slack, all-hands, etc.).","Celebration turns isolated success into shared momentum. When an employee demo shows they shaved two hours off payroll processing with an AI template, public praise does three jobs: it rewards the innovator, educates peers, and brands the company as forward-thinking. In small teams, peer storytelling is more persuasive than top-down mandates—people trust colleagues “in the trenches.” Regular shout-outs (leaderboard slides, #ai-wins channel, quarterly awards) create positive contagion, nudging fence-sitters to experiment. Celebration also signals priorities to new hires and external stakeholders: “We value ingenuity and data-driven impact.” Over time, the highlight reel becomes institutional memory, a searchable archive of playbooks others can copy, reducing rediscovery and accelerating compound gains."
9,Culture & Change-Readiness,We follow a simple communication plan for any tech change.,"Even beneficial tools fail without clear, consistent messaging. A lightweight communication plan answers: What’s changing? Why now? What’s expected of me? Where do I get help?—delivered via the channels people already watch (Level-10 agenda, Slack pin, quick Loom video). For small businesses, formality must not become bureaucracy; a one-page template suffices. Clarity reduces rumor-mill anxiety, speeds adoption, and exposes hidden blockers early (e.g., a browser plugin is incompatible with field laptops). It also documents due diligence if customers or regulators ask how change was managed. Embedding the plan into existing meeting cadences disciplines leadership to think through rollout steps instead of launching a tool Friday afternoon and hoping for the best."
10,Culture & Change-Readiness,Automated feedback loops collect team & customer input.,"Readiness isn’t just policies; it’s the listening infrastructure that flags friction before it festers. Automated loops—weekly pulse surveys, NPS triggers, post-support CSAT forms—produce structured data a small team can review in minutes. AI can summarise free-text responses, spotlighting patterns like “proposal generator still misses legal clause X.” Continuous feedback shortens the discovery-fix cycle, preventing small issues from ballooning into expensive re-work and keeping morale high because users feel heard. For customer-facing businesses, it also demonstrates service ethos, strengthening loyalty. Crucially, automation eliminates manual collation, freeing staff to act on insights rather than gather them."
11,Culture & Change-Readiness,Core values and the People-Tracker include at least one AI-aligned metric.,"Aligning culture statements with scorecards closes the “say–do” gap. If “Continuous Improvement” is a core value, tracking whether each employee shipped or documented an AI efficiency gain this quarter makes it real. In EOS, the People-Analyzer already rates GWC (Gets it, Wants it, Capacity)—adding an AI-aligned metric turns mindset into measurable behavior. This transparency guides coaching conversations: a high performer resisting new tools receives targeted support, while early adopters earn recognition or promotions. Embedding the metric also keeps AI on leadership’s radar even during busy seasons; if scores dip, it triggers IDS (Identify–Discuss–Solve) discussions. Ultimately, values-to-metrics linkage keeps cultural evolution in step with strategic intent, ensuring readiness is lived, not laminated."
12,Skills & Literacy,"Every team member sets an AI-Educational Rock each quarter, tailored to role and proficiency.","Personal Rocks turn abstract “learn AI” goals into concrete, time-boxed commitments. A junior CSR might master chat-assist prompts, while a senior analyst pilots Python notebooks. Tailoring to current skill prevents overwhelm and ensures relevance, unlocking quick productivity wins that reinforce motivation. Quarterly cadence syncs beautifully with EOS planning, creating a rolling wave of up-skilling that compounds across the firm. For a 10-to-50-person company, this distributed learning strategy scales far better than sending everyone to the same workshop. It also surfaces informal experts who can mentor peers, reducing external training costs. Tracking Rock completion in the Scorecard makes progress visible, safeguarding budget and leadership attention."
13,Skills & Literacy,We assess digital/AI literacy for every team member twice a year and tailor follow-up training plans.,"A baseline test exposes uneven knowledge—maybe marketing knows prompt engineering but ops doesn’t grasp data privacy. Semi-annual cadence captures improvement but respects bandwidth. Using simple quizzes or self-rating surveys, results feed individual learning plans (micro-courses, buddy sessions). Data shows that tailored training cuts time-to-competence and boosts retention because people see direct application. Aggregated scores also guide strategic investment—if overall literacy leaps, budget shifts from basics to advanced automation. As a readiness metric, it proves the company isn’t guessing about skills gaps but measuring and closing them methodically."
14,Skills & Literacy,AI literacy is built into new-hire onboarding.,"First impressions set cultural tone. Embedding a 30-minute AI orientation—tool stack overview, policy primer, best-practice demos—tells newcomers: “We are an AI-forward company; continuous improvement is part of the job.” Early exposure accelerates contribution because hires can immediately exploit chat-assist, code co-pilot, or data-query tools instead of learning by osmosis. It also standardises baseline knowledge, making subsequent team training easier. In regulated sectors, onboarding ensures legal compliance (privacy, disclosure) from day one, reducing risk. Finally, inclusion in orientation signals to recruiters and candidates that the firm is progressive, aiding talent attraction in tight labour markets."
15,Skills & Literacy,Each department names an AI Champion.,"Champions are the local heartbeat of innovation—translating global strategy into department-specific experiments. Their duties: gather pain-points, mentor peers, liaise with the central AI advisor, report weekly wins and blockers. In small companies this might be 5–10 % of a person’s time, yet the payoff is enormous: ideas travel faster, adoption hurdles surface quickly, and best practices cross-pollinate. Champions also create redundancy; if the tech lead is on vacation, the marketing champion can still guide prompt usage. Over time, the role builds a leadership pathway, retaining ambitious employees by giving them influence without formal promotions."
